step,timestamp,temperature,humidity,co2,light_intensity,plant_height
0,2026-05-01 00:00:00,16.83,81.28,850.75,1.18,5.046
1,2026-05-01 01:00:00,16.06,82.55,850.13,0.0,5.084
2,2026-05-01 02:00:00,16.0,83.07,850.88,0.97,5.121
3,2026-05-01 03:00:00,16.21,82.92,850.47,0.0,5.159
4,2026-05-01 04:00:00,16.83,81.29,850.88,0.0,5.205
5,2026-05-01 05:00:00,17.74,79.23,851.22,0.0,5.26
6,2026-05-01 06:00:00,18.97,76.55,800.53,0.46,5.316
7,2026-05-01 07:00:00,20.48,73.48,763.32,111.41,5.391
8,2026-05-01 08:00:00,21.96,69.88,725.62,301.93,5.483
9,2026-05-01 09:00:00,23.54,66.46,693.11,506.23,5.583
10,2026-05-01 10:00:00,25.06,63.48,669.43,685.33,5.688
11,2026-05-01 11:00:00,26.25,60.7,655.98,807.21,5.792
12,2026-05-01 12:00:00,27.25,58.58,650.29,850.79,5.886
13,2026-05-01 13:00:00,27.69,57.2,654.64,806.13,5.973
14,2026-05-01 14:00:00,27.98,57.02,669.23,686.25,6.056
15,2026-05-01 15:00:00,27.67,57.2,694.1,506.15,6.138
16,2026-05-01 16:00:00,27.25,58.69,724.65,299.94,6.218
17,2026-05-01 17:00:00,26.31,60.64,759.9,110.5,6.29
18,2026-05-01 18:00:00,24.93,63.47,800.14,0.86,6.346
19,2026-05-01 19:00:00,23.52,66.61,850.63,0.0,6.403
20,2026-05-01 20:00:00,22.03,69.9,849.64,0.0,6.46
21,2026-05-01 21:00:00,20.36,73.49,849.53,0.02,6.517
22,2026-05-01 22:00:00,19.04,76.67,850.67,0.0,6.574
23,2026-05-01 23:00:00,17.73,79.32,848.31,0.0,6.629
24,2026-05-02 00:00:00,16.7,81.28,850.4,0.0,6.674
25,2026-05-02 01:00:00,16.18,82.95,849.64,0.92,6.712
26,2026-05-02 02:00:00,15.93,83.17,849.05,0.0,6.747
27,2026-05-02 03:00:00,16.27,82.49,850.43,0.3,6.786
28,2026-05-02 04:00:00,16.76,81.21,850.07,0.0,6.832
29,2026-05-02 05:00:00,17.77,79.34,851.6,0.0,6.887
30,2026-05-02 06:00:00,18.92,76.63,800.22,1.7,6.943
31,2026-05-02 07:00:00,20.51,73.47,762.64,110.44,7.017
32,2026-05-02 08:00:00,21.95,69.86,724.61,298.8,7.108
33,2026-05-02 09:00:00,23.6,66.55,692.46,504.14,7.207
34,2026-05-02 10:00:00,25.02,63.53,672.09,688.68,7.311
35,2026-05-02 11:00:00,26.27,60.52,652.98,807.26,7.414
36,2026-05-02 12:00:00,27.14,58.51,649.39,849.82,7.508
37,2026-05-02 13:00:00,27.88,57.27,654.95,805.63,7.593
